,Unnamed: 0,district,Event,circle,policeStation,source,eventType,eventSubType,time,lat,long
1606,1608,LUCKNOW,P06062118161,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-06 21:13:40,26.859,80.985
1607,1609,LUCKNOW,P06062119185,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-06 21:47:25,26.846,81.011
1610,1612,LUCKNOW,P07062108520,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-07 13:33:20,26.849,80.987
1638,1640,LUCKNOW,P09062108221,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-09 13:20:09,26.849,80.996
1676,1678,LUCKNOW,P12062119462,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-12 22:37:02,26.865,80.978
1701,1703,LUCKNOW,P13062118278,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-13 23:25:30,26.852,80.99
1702,1704,LUCKNOW,P14062100026,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-14 00:02:58,26.853,80.99
1713,1715,LUCKNOW,P14062109943,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-14 17:14:41,26.863,80.977
1727,1729,LUCKNOW,P15062105270,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-15 12:13:14,26.849,80.99
1730,1732,LUCKNOW,P15062113241,C1,PS2,PHONE,Domestic Violence,Expelling Senior Citizen From House,2021-06-15 22:02:51,26.842,80.997
1732,1734,LUCKNOW,P15062113573,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-15 22:21:12,26.85,81.012
1737,1739,LUCKNOW,P16062107029,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-16 14:10:18,26.851,81.004
1741,1743,LUCKNOW,P16062108544,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-16 16:18:57,26.502,81.509
1767,1769,LUCKNOW,P18062111020,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-18 20:23:54,26.845,80.989
1773,1775,LUCKNOW,P19062106632,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-19 14:12:43,26.858,80.99
1774,1776,LUCKNOW,P19062106873,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-19 14:34:04,26.852,80.981
1795,1797,LUCKNOW,P21062113121,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-21 21:13:31,26.848,81.014
1811,1813,LUCKNOW,P22062100996,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,2021-06-22 03:43:03,26.849,80.995
1820,1822,LUCKNOW,P23062100029,C1,PS2,PHONE,Domestic Violence,Family Members Beat Wife,2021-06-23 00:02:03,26.853,80.973
1830,1832,LUCKNOW,P23062113550,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-23 21:22:01,26.853,80.98
1835,1837,LUCKNOW,P23062116223,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-23 23:38:34,26.854,81.011
1843,1845,LUCKNOW,P24062106853,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-06-24 13:47:18,26.859,80.985
1848,1850,LUCKNOW,P24062115578,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-06-24 23:21:17,26.852,80.99
1864,1866,LUCKNOW,P25062113628,C1,PS2,PHONE,Domestic Violence,Harrassment Of Wife By Family Members,2021-06-25 21:08:45,26.847,81.003
1871,1873,LUCKNOW,P26062100987,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-26 04:12:13,26.849,80.996
1872,1874,LUCKNOW,P26062107522,C1,PS2,PHONE,Domestic Violence,Domestic Violence Against Men Or Boy Or Seniormen,2021-06-26 14:00:54,26.848,80.997
1874,1876,LUCKNOW,P26062108312,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-06-26 14:56:57,26.855,81.003
1883,1885,LUCKNOW,P26062113355,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-06-26 20:33:33,26.864,80.977
1884,1886,LUCKNOW,P26062117471,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-26 23:46:56,26.862,80.977
1909,1911,LUCKNOW,P27062114266,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-27 20:43:09,26.864,80.981
1922,1924,LUCKNOW,P29062100759,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-29 01:39:07,26.853,81.004
1923,1925,LUCKNOW,P29062100772,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-29 01:41:46,26.851,81.005
1927,1929,LUCKNOW,P29062103689,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-29 09:08:10,26.849,80.998
1952,1954,LUCKNOW,P30062116665,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-06-30 22:36:21,26.845,80.995
1957,1959,LUCKNOW,P01042100097,C2,PS3,PHONE,Domestic Violence,Family Members Beat Wife,2021-04-01 00:10:00,26.881,81.012
1966,1968,LUCKNOW,P01042102763,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-01 09:53:00,26.905,81.038
1976,1978,LUCKNOW,P01042106320,C2,PS3,PHONE,Domestic Violence,Harrassment Of Wife By Family Members,2021-04-01 14:53:00,26.878,81.005
1977,1979,LUCKNOW,P01042106680,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-01 15:25:00,26.881,81.018
1987,1989,LUCKNOW,P01042112310,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-01 23:06:00,26.891,81.046
1996,1998,LUCKNOW,P02042102605,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-02 09:51:00,26.883,81.03
2007,2009,LUCKNOW,P02042108508,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-02 18:31:00,26.879,81.053
2012,2014,LUCKNOW,P02042109451,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-02 19:56:00,26.874,81.026
2018,2020,LUCKNOW,P02042112118,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-02 22:58:00,26.9,81.055
2019,2021,LUCKNOW,P02042112372,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-02 23:17:00,26.893,81.029
2025,2027,LUCKNOW,P03042104036,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-03 11:56:00,26.862,81.048
2028,2030,LUCKNOW,P03042105989,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-03 15:07:00,26.922,81.05
2029,2031,LUCKNOW,P03042106930,C2,PS3,PHONE,Domestic Violence,Family Members Beat Wife,2021-04-03 16:41:00,26.898,81.088
2060,2062,LUCKNOW,P04042109210,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-04 16:33:00,26.896,81.021
2062,2064,LUCKNOW,P04042109827,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-04 17:27:00,26.866,81.048
2071,2073,LUCKNOW,P04042114158,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 22:40:00,26.846,81.066
2072,2074,LUCKNOW,P04042114450,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 22:58:00,26.845,81.066
2075,2077,LUCKNOW,P04042114940,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-04 23:31:00,26.891,81.007
2104,2106,LUCKNOW,P05042111395,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-05 22:05:00,26.883,81.009
2117,2119,LUCKNOW,P06042103297,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 10:31:00,26.88,81.039
2127,2129,LUCKNOW,P06042104291,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-06 11:55:00,26.876,81.015
2132,2134,LUCKNOW,P06042106105,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 14:54:00,26.884,81.02
2136,2138,LUCKNOW,P06042107997,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-06 18:02:00,26.894,81.009
2140,2142,LUCKNOW,P06042110193,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 21:02:00,26.872,81.042
2145,2147,LUCKNOW,P06042111899,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 22:39:00,26.849,81.066
2149,2151,LUCKNOW,P06042112609,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 23:28:00,26.875,81.046
2150,2152,LUCKNOW,P06042112641,C2,PS3,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-06 23:30:00,26.883,81.057
2152,2154,LUCKNOW,P07042100308,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-07 00:45:00,26.885,81.015
2160,2162,LUCKNOW,P07042104844,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-07 13:02:00,26.855,81.042
2175,2177,LUCKNOW,P07042110467,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-07 21:46:00,26.877,81.035
2191,2193,LUCKNOW,P08042101383,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-08 06:58:00,26.876,81.054
2192,2194,LUCKNOW,P08042101812,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-08 07:56:00,26.885,81.016
2214,2216,LUCKNOW,P08042111837,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-04-08 22:32:00,26.882,81.013
2216,2218,LUCKNOW,P08042111919,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-08 22:37:00,26.876,81.013
2218,2220,LUCKNOW,P08042112290,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-08 22:57:00,26.869,81.034
2223,2225,LUCKNOW,P09042102015,C2,PS3,PHONE,Domestic Violence,House Arrest,2021-04-09 08:21:00,26.861,81.045
2232,2234,LUCKNOW,P09042108773,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-09 18:45:00,26.876,81.036
2272,2274,LUCKNOW,P10042112444,C2,PS3,PHONE,Domestic Violence,Domestic Violence Against Men Or Boy Or Seniormen,2021-04-10 22:28:00,26.873,81.036
2276,2278,LUCKNOW,P11042102592,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-11 09:24:00,26.876,81.055
2289,2291,LUCKNOW,P11042110432,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-11 20:13:00,26.882,81.013
2292,2294,LUCKNOW,P11042110766,C2,PS3,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-11 20:36:00,26.881,81.053
2304,2306,LUCKNOW,P12042101566,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-12 07:02:00,26.924,81.043
2306,2308,LUCKNOW,P12042102802,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-12 09:22:00,26.849,81.066
2311,2313,LUCKNOW,P12042105535,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-12 13:13:00,26.895,81.044
2337,2339,LUCKNOW,P13042101273,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-13 06:14:00,26.892,81.011
2346,2348,LUCKNOW,P13042103124,C2,PS3,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-04-13 09:55:00,26.886,81.061
2366,2368,LUCKNOW,P14042100931,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-14 03:09:00,26.876,81.055
2372,2374,LUCKNOW,P14042105317,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-14 12:53:00,26.876,81.055
2387,2389,LUCKNOW,P14042113521,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-14 23:15:00,26.872,81.037
2389,2391,LUCKNOW,P15042101493,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-15 01:50:00,26.88,81.014
2390,2392,LUCKNOW,P15042102371,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-15 05:28:00,26.88,81.039
2400,2402,LUCKNOW,P15042104780,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-15 10:16:00,26.88,81.039
2445,2447,LUCKNOW,P16042111023,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-16 19:45:00,26.883,81.057
2449,2451,LUCKNOW,P16042111752,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-16 20:30:00,26.873,81.085
2451,2453,LUCKNOW,P16042112424,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-16 21:01:00,26.875,81.017
2455,2457,LUCKNOW,P16042114983,C2,PS3,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-16 22:51:00,26.857,81.041
2456,2458,LUCKNOW,P16042115006,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-16 22:52:00,26.891,81.068
2475,2477,LUCKNOW,P17042106584,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-17 13:43:00,26.894,81.009
2478,2480,LUCKNOW,P17042107130,C2,PS3,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-17 14:33:00,26.851,81.026
2503,2505,LUCKNOW,P17042113058,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-17 21:28:00,26.873,81.002
2515,2517,LUCKNOW,P18042105179,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-18 11:52:00,26.887,81.059
2522,2524,LUCKNOW,P18042107636,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-18 15:08:00,26.878,81.014
2523,2525,LUCKNOW,P18042108063,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-18 15:46:00,26.891,81.01
2550,2552,LUCKNOW,P19042110196,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-19 14:46:00,26.894,81.009
2554,2556,LUCKNOW,P19042117862,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-19 21:09:00,26.885,81.001
2559,2561,LUCKNOW,P19042120998,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-19 23:38:00,26.875,81.011
2588,2590,LUCKNOW,P20042112562,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-20 20:40:00,26.885,81.016
2592,2594,LUCKNOW,P21042101201,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-21 05:48:00,26.858,81.043
2594,2596,LUCKNOW,P21042102049,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-21 07:48:00,26.873,81.038
2624,2626,LUCKNOW,P21042114293,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-21 23:44:00,26.873,81.031
2629,2631,LUCKNOW,P22042102599,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-22 09:09:00,26.856,81.024
2644,2646,LUCKNOW,P22042107055,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-22 17:57:00,26.891,81.066
2649,2651,LUCKNOW,P22042110434,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-22 21:38:00,26.874,81.025
2678,2680,LUCKNOW,P23042110219,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-23 19:18:00,26.901,81.069
2684,2686,LUCKNOW,P23042113052,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-23 21:49:00,26.887,81.059
2686,2688,LUCKNOW,P23042113289,C2,PS3,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-23 21:59:00,26.874,81.026
2687,2689,LUCKNOW,P23042113616,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-23 22:14:00,26.892,81.072
2691,2693,LUCKNOW,P24042102366,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-24 08:25:00,26.879,81.033
2695,2697,LUCKNOW,P24042106147,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-24 13:17:00,26.874,81.026
2705,2707,LUCKNOW,P24042110182,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-24 19:20:00,26.857,81.028
2710,2712,LUCKNOW,P24042114141,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-24 23:51:00,26.904,81.094
2715,2717,LUCKNOW,P25042105011,C2,PS3,PHONE,Domestic Violence,Expelling Senior Citizen From House,2021-04-25 12:06:00,26.876,81.037
2745,2747,LUCKNOW,P26042107259,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-26 13:02:00,26.85,81.025
2751,2753,LUCKNOW,P26042111406,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-26 18:06:00,26.857,81.041
2754,2756,LUCKNOW,P26042112277,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-26 19:01:00,26.845,81.066
2765,2767,LUCKNOW,P26042117674,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-26 23:25:00,26.887,81.061
2771,2773,LUCKNOW,P27042103823,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-27 09:34:00,26.874,81.026
2781,2783,LUCKNOW,P27042109042,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-27 16:21:00,26.873,81.032
2782,2784,LUCKNOW,P27042109097,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-27 16:25:00,26.873,81.032
2786,2788,LUCKNOW,P27042109259,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-27 16:37:00,26.872,81.031
2793,2795,LUCKNOW,P27042111977,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-27 19:45:00,26.852,81.028
2805,2807,LUCKNOW,P27042114547,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-27 21:40:00,26.853,81.023
2817,2819,LUCKNOW,P27042117310,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-04-27 23:57:00,26.876,81.055
2824,2826,LUCKNOW,P28042102923,C2,PS3,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-04-28 08:29:00,26.857,81.041
2835,2837,LUCKNOW,P28042112817,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-28 20:33:00,26.874,81.017
2842,2844,LUCKNOW,P28042114988,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-28 22:06:00,26.885,81.015
2844,2846,LUCKNOW,P28042115287,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-28 22:18:00,26.896,81.023
2855,2857,LUCKNOW,P29042105541,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-29 09:52:00,26.862,81.032
2861,2863,LUCKNOW,P29042109004,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-29 13:58:00,26.876,81.054
2862,2864,LUCKNOW,P29042109252,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-29 14:19:00,26.877,81.035
2863,2865,LUCKNOW,P29042113012,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-29 18:26:00,26.92,81.039
2874,2876,LUCKNOW,P29042119192,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-29 23:48:00,26.876,81.013
2876,2878,LUCKNOW,P30042101738,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-04-30 07:04:00,26.929,81.038
2877,2879,LUCKNOW,P30042102486,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-30 08:23:00,26.898,81.044
2883,2886,LUCKNOW,P30042105889,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-04-30 12:44:00,26.884,81.039
2889,2892,LUCKNOW,P30042112567,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-30 20:51:00,26.894,81.015
2893,2896,LUCKNOW,P30042114671,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-30 22:10:00,26.869,81.057
2895,2898,LUCKNOW,P30042115062,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-30 22:26:00,26.877,81.035
2897,2900,LUCKNOW,P30042115771,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-30 22:55:00,26.876,81.036
2909,2912,LUCKNOW,P01052103539,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-01 09:03:52,26.883,81.079
2913,2916,LUCKNOW,P01052104442,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-01 10:09:58,26.877,81.035
2926,2929,LUCKNOW,P01052111734,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-01 19:46:02,26.877,81.035
2935,2938,LUCKNOW,P02052102882,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-02 09:37:47,26.863,81.038
2940,2943,LUCKNOW,P02052105960,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-02 14:27:04,26.881,81.012
2947,2950,LUCKNOW,P02052112008,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-02 21:54:40,26.849,81.061
2951,2954,LUCKNOW,P03052100031,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-03 00:03:17,26.898,81.088
2953,2956,LUCKNOW,P03052100652,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-03 01:33:18,26.897,81.091
2956,2959,LUCKNOW,P03052105219,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-03 11:25:02,26.852,81.036
2959,2962,LUCKNOW,P03052108535,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-03 15:34:35,26.897,81.079
2962,2965,LUCKNOW,P03052114893,C2,PS3,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-03 21:50:08,26.847,81.063
2974,2977,LUCKNOW,P04052107875,C2,PS3,PHONE,Domestic Violence,Family Members Beat Wife,2021-05-04 14:51:59,26.851,81.023
2988,2991,LUCKNOW,P05052110504,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-05 18:42:09,26.894,81.067
2989,2992,LUCKNOW,P05052110823,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-05 19:04:44,26.882,81.008
2999,3002,LUCKNOW,P06052100200,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-06 00:49:23,26.876,81.055
3001,3004,LUCKNOW,P06052100333,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-06 01:46:28,26.911,81.029
3006,3009,LUCKNOW,P06052106701,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-06 14:12:23,26.897,81.047
3010,3013,LUCKNOW,P06052108699,C2,PS3,PHONE,Domestic Violence,Beat Children By Familymembers,2021-05-06 17:02:21,26.878,81.055
3017,3020,LUCKNOW,P06052111558,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-06 20:44:17,26.89,81.064
3045,3048,LUCKNOW,P07052111054,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-07 21:40:11,26.889,81.008
3047,3050,LUCKNOW,P07052111871,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-07 22:47:38,26.863,81.049
3069,3072,LUCKNOW,P08052111678,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-08 22:01:07,26.855,81.04
3086,3089,LUCKNOW,P09052108035,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-09 16:34:46,26.857,81.08
3112,3115,LUCKNOW,P11052108172,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-11 15:56:05,26.885,81.012
3130,3133,LUCKNOW,P11052116162,C2,PS3,PHONE,Domestic Violence,Expelling Senior Citizen From House,2021-05-11 23:30:41,26.889,81.034
3136,3139,LUCKNOW,P12052106645,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-12 13:12:28,26.898,81.026
3139,3142,LUCKNOW,P12052108156,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-12 14:54:03,26.876,81.055
3161,3164,LUCKNOW,P13052100759,C2,PS3,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-05-13 05:16:10,26.896,81.029
3170,3173,LUCKNOW,P13052107154,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-13 13:40:54,26.875,81.055
3172,3175,LUCKNOW,P13052107287,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-13 13:50:02,26.872,81.029
3173,3176,LUCKNOW,P13052107424,C2,PS3,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-05-13 13:58:13,26.836,81.073
3182,3185,LUCKNOW,P13052111577,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-13 18:03:24,26.867,81.048
3197,3200,LUCKNOW,P14052102890,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-14 08:18:29,26.853,81.055
3207,3210,LUCKNOW,P14052112823,C2,PS3,PHONE,Domestic Violence,Beat Children By Familymembers,2021-05-14 18:35:27,26.882,81.013
3214,3217,LUCKNOW,P14052119596,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-14 23:15:43,26.924,81.04
3215,3218,LUCKNOW,P15052100223,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-15 00:16:16,26.851,81.066
3216,3219,LUCKNOW,P15052101686,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-15 05:47:33,26.914,81.06
3220,3223,LUCKNOW,P15052107215,C2,PS3,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-05-15 13:17:00,26.889,81.009
3221,3224,LUCKNOW,P15052107307,C2,PS3,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-15 13:21:50,26.845,81.066
3253,3256,LUCKNOW,P16052104400,C2,PS3,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-16 09:47:58,26.88,81.039
3271,3274,LUCKNOW,P16052115836,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-16 21:12:17,26.859,81.044
3273,3276,LUCKNOW,P16052118409,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-16 22:47:23,26.864,81.046
3274,3277,LUCKNOW,P16052118541,C2,PS3,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-16 22:54:20,26.868,81.047
